,model,accuracy,precision,recall,f1score,specificity
0,gnb,0.15644444444444444,0.1305703562232974,0.1504040404040404,0.1325916172655079,0.9398688356061952
0,logit,0.1202020202020202,0.12204883942453601,0.10420202020202021,0.08143674506894322,0.9403970742401225
0,knn,0.10216161616161616,0.10653910606301911,0.0842020202020202,0.06282360450007508,0.9385619285530866
0,decisiontree,0.21838383838383835,0.2651451659451659,0.22044444444444444,0.2212384634610125,0.9476176966300274
0,randomforest,0.28260606060606064,0.2920656828020464,0.28254545454545454,0.2949654773778582,0.9506086462913832
0,xgboost,0.25646464646464645,0.2683333092833093,0.2665050505050505,0.24953645463895952,0.9490043216782706
0,MLPC,0.12422222222222223,0.1072578964245631,0.13426262626262625,0.10446986999317351,0.9385776061969004
