,model,accuracy,precision,recall,f1score,specificity
0,randomforest,0.6376080691642652,0.6420264891389236,0.6337175792507205,0.6325853689787225,0.9742126928956361
0,xgboost,0.6494236311239192,0.6465808138184361,0.6469740634005763,0.63554109142926,0.9740088640968876
