,model,accuracy,precision,recall,f1score,specificity
0,gnb,0.4208282828282828,0.47857624844291513,0.42086868686868684,0.42435757121008183,0.9627876619873007
0,logit,0.14042424242424242,0.2193055768910633,0.1724040404040404,0.15962228830914021,0.9414822197131844
0,knn,0.06414141414141414,0.12376082470282534,0.0761818181818182,0.05845061546503436,0.9395824190582953
0,decisiontree,0.2725858585858586,0.261215100331767,0.2183030303030303,0.21830923501050625,0.9466608033344933
0,randomforest,0.4548686868686868,0.5084940009881187,0.47670707070707075,0.44960416597593156,0.965542523817233
0,xgboost,0.4128484848484848,0.40402712102712107,0.3646262626262626,0.3910017577834493,0.9608436378968648
0,MLPC,0.09822222222222222,0.07580179368182233,0.08414141414141416,0.056600181264292095,0.939083660076546
