Pregunta 3 ;Pregunta 4;Pregunta 5;Pregunta 6;Pregunta 7;Pregunta 8;Pregunta 9;Pregunta 10;Pregunta 11;Pregunta 12;Pregunta 13;Pregunta 14;Pregunta 15;Pregunta 16 a;Pregunta 16 b;Pregunta 16 c;Pregunta 16 d;Pregunta 16 e;Pregunta 16 f;Pregunta 16 g;Pregunta 16 h;Pregunta 16 i;Pregunta 16 j;Pregunta 16 k;Pregunta 16 l;Pregunta 16 m;Pregunta 16 n;Pregunta 16 ñ;Pregunta 16 o;Pregunta 16 p;Pregunta 16 q;Pregunta 16 r;Pregunta 16 s;Pregunta 16 t;Pregunta 16 u;Pregunta 16 v;Pregunta 17 a;Pregunta 17 b;Pregunta 17 c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics. ;;0-2;Sin experiencia;Antes de conocer este campo o similares, decidí aprender a Python y Data Science porque quería desarrollar una herramienta AI based para detección de talento y skills. Conocí PA en un meetup a principios de año. ;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);;Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;Spark (Big Data cluster-computing framework);;Google Cloud Platform (Servicios de computación en la nube);;;;;;;Wharton;Datacamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics. ;5-10;5-10;5-10;Fue mediante un proyecto de BI propuesto por la direccion;España;No;No;T-Systems;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de Data Analytics/BI.;Sí, se creó desde cero.;;;R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;power-BI;Data Analytics;QSQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;> 10;0-2;Por interés en los datos;Ecuador;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;LMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;2-5;0-2;Tras construir unos buenos cimientos en RRHH, quiero centrar mi carrera en People Analytics. ;Estados Unidos;No;No;Warner Music Group;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;Sí, se creó desde cero.;;;;;;;Microsoft Excel (Hoja de cálculo);;;;Workday HCM (Gestión del capital humano);;;;;;;;;;;;;Coursera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics. ;0-2;> 10;2-5;Por información en la web;Perú;No;No;;Analítica predictiva (¿Que va a suceder?).;No, nadie se dedica en exclusiva a People Analytics.;No;Python (Lenguaje de programación);;R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;People Analytics-UCEMA;Wharton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;0-2;0-2;Disfruté de la estadística durante mi master en Psicologia Organizacional.;Canadá;No;No;Deloitte Canada;Analítica predictiva (¿Que va a suceder?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;0-2;0-2;Autodidacta ;Argentina;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;SQL (Lenguaje de programación);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;0-2;Por mi doctorado;Alemania;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;0-2;Sin experiencia;Al entrar como técnico de selección en una empresa IT y darme cuenta de la importancia del dato y la aplicación del Big Data al área de RRHH. ;España;Sí;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;5-10;Sin experiencia;Autodidacta;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de Operaciones.;No;;;R (Lenguaje de programación);;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
